"name";"lastname";"gender";"current_year_of_study";"recommened_by";"application_status";"applicants_status";"Evaluators_Comment"
NULL;NULL;NULL;"HND 1";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>16-Apr-2021</small></br>ok for next review, applicant last award shall be in 2021.</br><b>Ugo Emmanuel</b> - <small>19-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are documents from 2019/2020. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>04-May-2021</small></br>ok for next review---applicants last award shall be in 2024 since the applicant started receiving the award from 100 level</br><b>Ugo Emmanuel</b> - <small>19-Feb-2021</small></br>Applicant hasn't uploaded his recent documents. What we have here are documents from 2018/2019.  He needs to update his evidence of CGPA and letter from department with more recent ones.</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>04-May-2021</small></br>ok for next review</br><b>Gideon Olawale</b> - <small>25-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are documents from 2018/2019. He needs to update his documents with recent ones</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>letter from her department is not available</br><b>Akonye Tobin</b> - <small>16-Apr-2021</small></br>Documents are not upto date, evidence of CGPA is from 2017, no letter from department</br><b>Gideon Olawale</b> - <small>25-Feb-2021</small></br>Her result is up to date, but the letter from her department is not available</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br><b>Gideon Olawale</b> - <small>25-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are documents from 2019/2020. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>27-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are old documents. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>27-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are old documents. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br><b>Akonye Tobin</b> - <small>27-Mar-2021</small></br>no current CGPA or letter from the department</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>27-Feb-2021</small></br>Applicant hasn't updated his documents. What we have here are old documents. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"500 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>Applicant meant to graduate 2020, but a derogation to apply last award in 2021.</br><b>Gideon Olawale</b> - <small>17-Mar-2021</small></br>Applicant is not eligible for this year's Award. He is meant to graduate in 2020. HIs document are not also complete</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>17-Mar-2021</small></br>Applicant's admission letter is blurr. He should give a clear image of His admission letter. Applicant hasn't updated his documents. What we have here are old documents. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>19-Mar-2021</small></br>Applicant hasn't updated his documents. What we have here are old documents. He needs to update his documents with recent ones.</br>"
NULL;NULL;NULL;"200 Level";NULL;"Under Review";"New Applicant";NULL
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>07-May-2021</small></br>This applicant does not even have both letter from the department and his recent result. He is meant to be in 200 level or 300 level - 2nd notice ****** Last award shall be in 2022*** no exceptions</br><b>Gideon Olawale</b> - <small>19-Mar-2021</small></br>This applicant does not even have both letter from the department and his recent result. He is meant to be in 200 level or 300 level</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>27-Mar-2021</small></br>ok for the next review.  This will be the last award for this applicant. The original graduation year is 2021</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>27-Mar-2021</small></br>The applicant supposed to be in 200 level but due to the Covid pandemic, she is currently in year 1. The last award shall be in 2024</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>30-Mar-2021</small></br>OK for next review - this will be the applicant's last award. Graduates 2021</br>"
NULL;NULL;NULL;"HND 1";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>27-Mar-2021</small></br>ok for next review. This will be the applicant's last award. The original graduation year is 2021</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>30-Mar-2021</small></br>no evidence of your CGPA or a letter from you department</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>30-Mar-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>18-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>27-Mar-2021</small></br>pending documents</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>30-Mar-2021</small></br>Pending, No document uploaded</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>07-May-2021</small></br>no letter from your department or evidence of CGPA</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>07-May-2021</small></br>oko for next review, last award 2022</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Apr-2021</small></br>applicant has not uploaded evidence of CGPA and a letter from your department. the one attached is old expired</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>18-Jun-2021</small></br>He is okay for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>18-Jun-2021</small></br>Okay for next review. No evidence to confirm his year of graduation</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review - last award shall be in 2021. Applicant is a part time HND student admitted in 2019 for a 3 years course</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>01-Apr-2021</small></br>Ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review - last award shall be in 2022</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>18-Jun-2021</small></br>This is his last year</br>"
NULL;NULL;NULL;"500 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>CGPA evidence and department letter not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>29-Mar-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review - last award shall be in 2022...an extension can be given for 2023 with proper consideration. applicant was admitted in 2018/2019 for a 4years course</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review - last award shall be in 2021</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>18-Jun-2021</small></br>Documents not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Applicants does not have updated result and letter from the department</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>01-Apr-2021</small></br>Ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>01-Apr-2021</small></br>no evidence of CGPA or letter from department from the start of his application</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Okay for next review. But evidence of CGPA needs to be updated</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Evidence of CGPA and department letter not up to date</br>"
NULL;NULL;NULL;"500 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Evidence of CGPA and department letter not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review - last award shall be in 2023</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from his department and CGPA evidence is not up to date</br>"
NULL;NULL;NULL;"100 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from department and CGPA not valid</br>"
NULL;NULL;NULL;"500 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>18-Jun-2021</small></br>Documents are not up to date</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>18-Jun-2021</small></br>The documents are not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>18-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"500 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from his department and CGPA evidence is not up to date</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from his department and CGPA evidence is not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from his department and CGPA evidence is not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Apr-2021</small></br>application is ok for next review. Applicants last award shall be in 2021</br>"
NULL;NULL;NULL;"100 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from his department and CGPA evidence is not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from his department and CGPA evidence is not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from her department and CGPA evidence is not up to date.</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from his department and CGPA evidence is not up to date. HIs year of graduation still needs to be verified with a valid jamb admission letter</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>02-May-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from your department and CGPA evidence is not up to date.</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from her department and CGPA evidence is not up to date.</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>His admission letter and evidence of CGPA are not up to date. Please upload them so that your application proceed to the next screening level</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>The admission letter and evidence of CGPA are not up to date. Please upload them so that your application proceed to the next screening level</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Apr-2021</small></br>ok for next review. this will be the applicants last award. 2021</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>25-Apr-2021</small></br>ok for next review  - last award shall be 2021</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>The admission letter and evidence of CGPA are not up to date. Please upload them so that your application proceed to the next screening level</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from his department and CGPA evidence is not up to date.</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Letter from his department and CGPA evidence is not up to date.</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>The admission letter and evidence of CGPA are not up to date. Please upload them so that your application proceed to the next screening level</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>incomplete documents</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>The departmental letter and evidence of CGPA are not up to date</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Evidence of  cgpa and departmental letter not up to date</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Evidence of CGPA and departmental letter not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Evidence of CGPA and departmental letter not up to date</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>25-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>OKay for next review</br>"
NULL;NULL;NULL;"600 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>28-Apr-2021</small></br>This will be the last award for this applicant</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>departmental letter and evidence of CGPA not up to date</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>The department letter and the evidence of CGPA are not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>CGPA evidence and departmental letter not up to date</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>25-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Evidence of CGPA and departmental letter not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Evidence of CGPA and departmental letter not up to date</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>20-Apr-2021</small></br>ok for next review, last award shall be in 2024</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Evidence of CGPA and departmental letter not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Evidence of CGPA and departmental letter not up to date</br>"
NULL;NULL;NULL;"100 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Academic result not uploaded</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Departmental letter and evidence of CGPA not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>25-Apr-2021</small></br>ok for next review - last award shall be 2021</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Evidence of CGPA and departmental letter not up to date</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>CGPA evidence and departmental letter not up to date</br>"
NULL;NULL;NULL;"500 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>This guy needs to have graduated. Mr. Tobin help us vet this.</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Evidence of CGPA and departmental letter not up to date</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Both his evidence of cgpa and academic result are not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next level review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>30-Mar-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next level review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>11-Apr-2021</small></br>ok for next review</br><b>Akonye Tobin</b> - <small>11-Apr-2021</small></br>evidence of CGPA and a letter from department missing</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Both his evidence of cgpa and academic result are not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>ok for next review applicants last award shall be in 2024</br>"
