"name";"lastname";"gender";"current_year_of_study";"recommened_by";"application_status";"applicants_status";"Evaluators_Comment"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>need evidence of CGPA and letter from department</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>16-Apr-2021</small></br>missing passport, evidence of CGPA, Letter from department.</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>20-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"500 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next level review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Apr-2021</small></br>applicant has not uploaded evidence of CGPA and a letter from your department. the one attached is old expired......last award shall be in 2021.</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Both his evidence of cgpa and academic result are not up to date</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>16-Apr-2021</small></br>ok for next review, applicants last award shall be in 2022</br>"
NULL;NULL;NULL;"500 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>ok for next review - last award will be in 2021</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>11-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"500 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next level review</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>incomplete documents</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next level review</br>"
NULL;NULL;NULL;"500 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next level review</br>"
NULL;NULL;NULL;"500 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next level review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"500 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>21-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"500 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Apr-2021</small></br>applicant has not uploaded evidence of CGPA and a letter from your department. that attached is expired. applicants last award shall be in 2021</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>16-Apr-2021</small></br>ok for next review, applicants last award shall be in 2022</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>21-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>21-Mar-2021</small></br>Ok for next review. applicant will graduate in 2021, last award 2021</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>20-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>20-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Both his evidence of cgpa and academic result are not up to date</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>31-Mar-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next level review</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next level review</br>"
NULL;NULL;NULL;"400 Level";NULL;"Pending";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Both his evidence of cgpa and academic result are not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Apr-2021</small></br>applicant has not uploaded evidence of CGPA and a letter from your department.</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Apr-2021</small></br>ok for next</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>21-Mar-2021</small></br>incomplete documents, no evidence of CGPA or letter from department since the applicant received the first award - Last award will be in 2021</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>31-Mar-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>HIs departmental letter and evidence of CGPA are not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Apr-2021</small></br>applicant has not uploaded evidence of CGPA and a letter from your department. the one attached is old</br>"
NULL;NULL;NULL;"500 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>01-Apr-2021</small></br>Ok for next review: this will be the applicant's last award. Applicant graduates in 2021</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>20-Apr-2021</small></br>ok for next review, last award shall be in 2023.</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>02-May-2021</small></br>ok for next review</br><b>Akonye Tobin</b> - <small>20-Apr-2021</small></br>Applicants passport is not appropriate. This is the 3rd notification notification</br><b>Akonye Tobin</b> - <small>11-Apr-2021</small></br>Applicants passport is not appropriate, also no evidence of CGPA, letter from the department is also not correct.  This is the second notification</br><b>Akonye Tobin</b> - <small>01-Apr-2021</small></br>Ok for next review</br>"
NULL;NULL;NULL;"500 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>27-Mar-2021</small></br>pending documents</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>19-Apr-2021</small></br>ok for next review. Last award shall be in 2023</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Apr-2021</small></br>applicant has not uploaded evidence of CGPA and a letter from your department</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>02-May-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>02-May-2021</small></br>ok for next review - last award 2022 but can be given extension since he has not benefitted from year one</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>ok for next review - last award 2021</br>"
NULL;NULL;NULL;"500 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>11-Apr-2021</small></br>no evidence of CGPA and a letter from your department</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>16-Apr-2021</small></br>Ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>11-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>20-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>19-Apr-2021</small></br>ok for next review. last award shall be in 2021</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"500 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>11-Apr-2021</small></br>no evidence of CGPA and a letter from your department</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>27-Mar-2021</small></br>Application is ok for next review. Year of graduation (LAST AWARD) is set to 2020</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>04-May-2021</small></br>ok for next review</br><b>Akonye Tobin</b> - <small>27-Mar-2021</small></br>Not ok for now, no evidence of CGPA or letter from department. the applicant also needs to upload a proper passport photo</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Apr-2021</small></br>ok for next</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>31-Mar-2021</small></br>ok for next review, this is the applicant's last award. Graduates in 2021</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>30-Mar-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>16-Apr-2021</small></br>Ok for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>02-May-2021</small></br>ok for next review - last award 2021 but can be given extension</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>20-Apr-2021</small></br>no evidence of CGPA, no letter from department - pending</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review - last award shall be in 2022</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>16-Apr-2021</small></br>ok for next review. applicants last award shall be in 2022</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>07-May-2021</small></br>Evidence of CGPA and letter from department required, last award shall be 2023, applicant in studying a 5years course</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>30-Mar-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"500 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>11-Apr-2021</small></br>ok for next review, applicants last award shall be in 2021</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"Existing recipient";"<b>Akonye Tobin</b> - <small>12-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"HND 1";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>01-Apr-2021</small></br>Ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>12-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>11-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>16-Apr-2021</small></br>Ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>12-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>11-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"New Applicant";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>document from the department and evidence of CGPA not up to date</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>20-Apr-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"Existing recipient";"<b>Akonye Tobin</b> - <small>19-May-2021</small></br>old documents , need recent upload</br><b>Akonye Tobin</b> - <small>24-Apr-2021</small></br>old documents , need recent upload</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"New Applicant";"<b>Akonye Tobin</b> - <small>18-May-2021</small></br>no letter from department</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review - last award 2024</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>no evidence of CGPA for a level 300 student it is mandatory</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review - last award 2023</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review - year of graduation 2024</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"New Applicant";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>02-May-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review but documents are not clear</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next level</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>20-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>20-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>20-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"Pending";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Both his evidence of cgpa and academic result are not up to date</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>19-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>19-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>19-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"Pending";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Both his evidence of cgpa and academic result are not up to date</br>"
NULL;NULL;NULL;"100 Level";NULL;"Pending";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Both his evidence of cgpa and academic result are not up to date</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>19-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"Pending";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Both his evidence of cgpa and academic result are not up to date</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review - last award 2023</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Ugochukwu Uwazurike</b> - <small>25-Jun-2021</small></br>Okay  for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>17-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"400 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>17-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"200 Level";NULL;"Pending";"New Applicant";"<b>Akonye Tobin</b> - <small>17-Jun-2021</small></br>ok for next review,</br>"
NULL;NULL;NULL;"100 Level";NULL;"Pending";"New Applicant";"<b>Akonye Tobin</b> - <small>17-Jun-2021</small></br>ok for next review, inappropriate photo</br>"
NULL;NULL;NULL;"200 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Akonye Tobin</b> - <small>18-Jun-2021</small></br>ok for next review</br>"
NULL;NULL;NULL;"100 Level";NULL;"1st Review";"New Applicant";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
NULL;NULL;NULL;"300 Level";NULL;"1st Review";"Existing recipient";"<b>Gideon Olawale</b> - <small>25-Jun-2021</small></br>Okay for next review</br>"
